#t	m1	m2	m3
0	0.9698	0.0378	-0.0024
1	0.956	0.0442	0.0154
2	0.936	0.0482	-0.0084
3	0.9258	0.0462	-0.0154
4	0.9208	0.058	-0.0088
5	0.9192	0.0436	0.0194
6	0.9296	0.0538	0.0176
7	0.9256	0.063	0.0278
8	0.924	0.0576	0.0338
9	0.9206	0.0836	0.0362
10	0.923	0.082	0.032
11	0.9104	0.0898	0.0368
12	0.9042	0.0874	0.0386
13	0.9072	0.0794	0.0282
14	0.9108	0.0704	0.0394
15	0.9028	0.0708	0.0554
16	0.9084	0.0658	0.056
17	0.9092	0.0642	0.0476
18	0.9076	0.0824	0.0408
19	0.907	0.0818	0.0424
20	0.9044	0.0806	0.057
21	0.9046	0.0684	0.0516
22	0.91	0.0612	0.063
23	0.9076	0.0772	0.04
24	0.8994	0.075	0.0398
25	0.9054	0.0814	0.0426
26	0.913	0.0792	0.0418
27	0.911	0.0738	0.0374
28	0.9134	0.0756	0.05
29	0.9138	0.0686	0.0568
30	0.9098	0.0644	0.0574
31	0.9084	0.0572	0.0518
32	0.9076	0.0612	0.0572
33	0.9102	0.063	0.062
34	0.9052	0.0536	0.0508
35	0.9034	0.0616	0.048
36	0.905	0.0558	0.0452
37	0.9054	0.049	0.0514
38	0.9092	0.0432	0.0572
39	0.9072	0.0464	0.0554
40	0.8992	0.0486	0.0584
41	0.899	0.0544	0.0556
42	0.901	0.0566	0.0604
43	0.8978	0.0538	0.0744
44	0.9018	0.0562	0.0908
45	0.9058	0.0492	0.0934
46	0.9042	0.0388	0.0864
47	0.9108	0.0374	0.1034
48	0.91	0.0368	0.1006
49	0.9106	0.0324	0.1054
50	0.9158	0.0358	0.1002
51	0.914	0.036	0.1022
52	0.9118	0.0276	0.0992
53	0.9112	0.0274	0.099
54	0.9164	0.0218	0.0922
55	0.9248	0.0328	0.0936
56	0.9204	0.028	0.0868
57	0.9228	0.0252	0.0982
58	0.9272	0.0196	0.1088
59	0.9246	0.0094	0.1128
60	0.9308	0.0078	0.1122
61	0.9222	-0.0006	0.1198
62	0.922	-0.0058	0.1212
63	0.916	-0.009	0.109
64	0.9132	-0.0032	0.1146
65	0.9194	0.0148	0.1292
66	0.9184	0.0126	0.1378
67	0.9238	0.005	0.131
68	0.9272	0.008	0.15
69	0.926	-0.0096	0.1372
70	0.9266	-0.0232	0.139
71	0.9292	-0.0362	0.1522
72	0.917	-0.0334	0.1594
73	0.9176	-0.025	0.1638
74	0.9258	-0.0222	0.1668
75	0.9228	-0.0216	0.184
76	0.9246	-0.0272	0.1884
77	0.9202	-0.023	0.2144
78	0.9154	-0.0154	0.2066
79	0.9168	-0.006	0.2032
80	0.9108	-0.0054	0.2062
81	0.913	-0.0048	0.2056
82	0.9148	-0.0146	0.2152
83	0.9114	-0.019	0.2082
84	0.9124	-0.0244	0.1996
85	0.9154	-0.021	0.2134
86	0.915	-0.0124	0.2118
87	0.9138	-0.0154	0.2096
88	0.915	-0.0174	0.2166
89	0.912	-0.0176	0.2204
90	0.9156	-0.011	0.217
91	0.9186	-0.0204	0.212
92	0.9122	-0.0326	0.2136
93	0.9104	-0.0252	0.2278
94	0.9116	-0.0222	0.2232
95	0.918	-0.0134	0.2176
96	0.9134	-0.018	0.2304
97	0.9086	-0.0128	0.2312
98	0.9138	-0.018	0.232
99	0.9144	-0.012	0.2324
100	0.9158	-0.0176	0.2238
101	0.9298	-0.0142	0.2282
102	0.925	-0.0146	0.2338
103	0.9218	-0.0092	0.2502
104	0.9232	-0.0118	0.26
105	0.9216	-0.0074	0.2548
106	0.9142	-0.0154	0.2554
107	0.9092	-0.013	0.262
108	0.9044	-0.0134	0.26
109	0.911	0.0046	0.2668
110	0.9072	-0.0138	0.2668
111	0.9052	-0.0214	0.2762
112	0.9126	-0.0172	0.2726
113	0.9088	-0.0194	0.275
114	0.8986	-0.0114	0.2772
115	0.9062	-0.014	0.2904
116	0.9152	-0.017	0.2866
117	0.924	-0.019	0.2924
118	0.9162	-0.0164	0.291
119	0.911	-0.0218	0.293
120	0.909	-0.0116	0.2964
121	0.912	-0.0082	0.2992
122	0.9138	-0.0042	0.2986
123	0.9142	-0.0206	0.286
124	0.911	-0.0244	0.293
125	0.9252	-0.0158	0.2956
126	0.9184	-0.0336	0.303
127	0.9192	-0.0268	0.317
128	0.9204	-0.034	0.3188
129	0.9154	-0.053	0.3196
130	0.911	-0.0462	0.3168
131	0.903	-0.0422	0.3146
132	0.897	-0.0368	0.3064
133	0.8982	-0.0372	0.2964
134	0.8868	-0.027	0.302
135	0.8986	-0.0356	0.3134
136	0.9024	-0.0356	0.3112
137	0.9108	-0.0444	0.316
138	0.9122	-0.0576	0.3144
139	0.9202	-0.057	0.308
140	0.9126	-0.0376	0.294
141	0.904	-0.0456	0.3004
142	0.909	-0.0568	0.308
143	0.912	-0.0486	0.3062
144	0.908	-0.0422	0.3152
145	0.9106	-0.036	0.33
146	0.9082	-0.0398	0.3306
147	0.9116	-0.0394	0.3334
148	0.9182	-0.0506	0.3302
149	0.919	-0.0468	0.3358
150	0.9172	-0.0446	0.3316
151	0.9122	-0.0518	0.3324
152	0.9164	-0.0508	0.3362
153	0.9232	-0.04	0.3294
154	0.9126	-0.0568	0.3364
155	0.908	-0.053	0.332
156	0.9042	-0.0548	0.3316
157	0.9092	-0.0532	0.3342
158	0.9146	-0.052	0.333
159	0.9112	-0.0562	0.3434
160	0.9094	-0.0508	0.3538
161	0.9116	-0.049	0.361
162	0.915	-0.0452	0.3554
163	0.9118	-0.0418	0.3486
164	0.8998	-0.042	0.3362
165	0.901	-0.0386	0.333
166	0.9024	-0.0488	0.3438
167	0.9056	-0.0366	0.3438
168	0.9076	-0.034	0.3432
169	0.8988	-0.029	0.343
170	0.9024	-0.0292	0.3384
171	0.9064	-0.0406	0.3398
172	0.9138	-0.046	0.344
173	0.9112	-0.047	0.3482
174	0.916	-0.0528	0.3432
175	0.9124	-0.0506	0.3434
176	0.9122	-0.0422	0.3344
177	0.9064	-0.0376	0.3344
178	0.9054	-0.0294	0.3212
179	0.9104	-0.0328	0.3114
180	0.905	-0.0368	0.3092
181	0.905	-0.0474	0.3152
182	0.9004	-0.0472	0.3186
183	0.8928	-0.052	0.3288
184	0.893	-0.0488	0.3336
185	0.8896	-0.0536	0.3208
186	0.8854	-0.0482	0.3142
187	0.8846	-0.0466	0.3104
188	0.8948	-0.0494	0.311
189	0.894	-0.0496	0.3098
190	0.8954	-0.052	0.303
191	0.8988	-0.0424	0.3166
192	0.8988	-0.0434	0.3196
193	0.9028	-0.0414	0.3188
194	0.9042	-0.0456	0.3154
195	0.9038	-0.0492	0.3136
196	0.9096	-0.035	0.3114
197	0.9146	-0.0368	0.3094
198	0.9104	-0.0444	0.3084
199	0.9138	-0.0422	0.3038
200	0.92	-0.039	0.2968
201	0.9122	-0.0432	0.298
202	0.9194	-0.0476	0.2978
203	0.9168	-0.0562	0.3024
204	0.9186	-0.0626	0.2962
205	0.9136	-0.0662	0.3058
206	0.9094	-0.063	0.3126
207	0.914	-0.0646	0.3068
208	0.915	-0.0592	0.3114
209	0.921	-0.0672	0.309
210	0.9176	-0.0774	0.2998
211	0.9254	-0.0642	0.2946
212	0.9156	-0.074	0.2808
213	0.9124	-0.063	0.2792
214	0.919	-0.0562	0.292
215	0.9134	-0.0512	0.2958
216	0.9166	-0.05	0.2932
217	0.9168	-0.05	0.2858
218	0.8996	-0.0494	0.2882
219	0.8978	-0.0582	0.2864
220	0.898	-0.0602	0.2868
221	0.896	-0.0686	0.293
222	0.8978	-0.0696	0.2982
223	0.903	-0.072	0.3026
