#T	e	|m|	chi	c_v
0.1	-2	1	-1.97953e-09	-7.91811e-08
0.15	-2	1	-1.31969e-09	-3.51916e-08
0.2	-2	1	-9.89764e-10	-1.97953e-08
0.25	-2	1	-7.91811e-10	-1.2669e-08
0.3	-2	1	-6.59843e-10	-8.7979e-09
0.35	-2	1	-5.65579e-10	-6.46376e-09
0.4	-2	1	-4.94882e-10	-4.94882e-09
0.45	-2	1	-4.39895e-10	-3.91018e-09
0.5	-2	1	6.39603e-07	2.04768e-05
0.55	-2	0.999999	2.6178e-06	7.6162e-05
0.6	-1.99998	0.999996	1.41323e-05	0.000376867
0.65	-1.99997	0.999992	2.58431e-05	0.000636144
0.7	-1.99992	0.999981	5.50721e-05	0.0012588
0.75	-1.9998	0.99995	0.000135811	0.00283361
0.8	-1.99961	0.999902	0.000250298	0.00492201
0.85	-1.99929	0.999822	0.000434642	0.00793466
0.9	-1.99888	0.999717	0.000656082	0.011245
0.95	-1.99815	0.999532	0.00103979	0.0166902
1	-1.99721	0.999288	0.00153966	0.0229918
1.05	-1.99581	0.998927	0.00225344	0.0315046
1.1	-1.994	0.998453	0.00320712	0.0415129
1.15	-1.99146	0.997784	0.00449362	0.0544153
1.2	-1.98859	0.997023	0.00588134	0.067087
1.25	-1.98473	0.995959	0.0085299	0.0842877
1.3	-1.98008	0.994712	0.0104328	0.102232
1.35	-1.97463	0.993195	0.0136188	0.122172
1.4	-1.9678	0.991279	0.0174649	0.145972
1.45	-1.96003	0.989032	0.0224982	0.171142
1.5	-1.95141	0.986562	0.027246	0.195844
1.55	-1.94054	0.983305	0.0350846	0.228165
1.6	-1.92785	0.979388	0.0449653	0.264056
1.65	-1.91405	0.975021	0.0568802	0.30131
1.7	-1.89766	0.969691	0.0719113	0.34397
1.75	-1.87987	0.963726	0.0891031	0.387405
1.8	-1.85815	0.95612	0.113445	0.440063
1.85	-1.83467	0.947762	0.13964	0.492907
1.9	-1.81021	0.938642	0.16998	0.542076
1.95	-1.78124	0.927535	0.206615	0.599232
2	-1.74924	0.914874	0.249003	0.659284
2.05	-1.71626	0.901577	0.291169	0.710784
2.1	-1.67892	0.886064	0.338944	0.763067
2.15	-1.63868	0.868718	0.390281	0.81275
2.2	-1.59735	0.850321	0.44479	0.856717
2.25	-1.55434	0.830826	0.496341	0.890155
2.3	-1.51005	0.810399	0.544119	0.914565
2.35	-1.46225	0.787909	0.591126	0.932399
2.4	-1.41343	0.764448	0.634964	0.942266
2.45	-1.36697	0.741701	0.668379	0.938086
2.5	-1.32481	0.721211	0.690663	0.923882
2.55	-1.27506	0.695803	0.71649	0.906147
2.6	-1.23449	0.675268	0.729387	0.88292
2.65	-1.18555	0.650049	0.738683	0.850342
2.7	-1.14528	0.629353	0.738822	0.817973
2.75	-1.10764	0.609731	0.734304	0.780236
2.8	-1.06716	0.587986	0.728032	0.741415
2.85	-1.03368	0.570948	0.712933	0.703308
2.9	-0.99712	0.551992	0.696453	0.664386
2.95	-0.96712	0.535806	0.682247	0.629094
3	-0.935722	0.519179	0.663212	0.592911
3.05	-0.905733	0.503027	0.642053	0.556351
3.1	-0.880097	0.489729	0.622155	0.52567
3.15	-0.854273	0.475951	0.600502	0.494328
3.2	-0.830887	0.464026	0.579713	0.466346
3.25	-0.806429	0.450969	0.557414	0.437757
3.3	-0.785922	0.439917	0.539153	0.414315
3.35	-0.766056	0.429941	0.51853	0.390366
3.4	-0.745842	0.418956	0.498723	0.368084
3.45	-0.729492	0.411361	0.481541	0.350209
3.5	-0.7115	0.401932	0.462737	0.329791
3.55	-0.695461	0.393716	0.446076	0.313036
3.6	-0.680052	0.386063	0.430317	0.297967
3.65	-0.666353	0.379419	0.415582	0.284442
3.7	-0.651669	0.371903	0.400337	0.26924
3.75	-0.638825	0.365545	0.385473	0.25608
3.8	-0.626471	0.359528	0.373056	0.24531
3.85	-0.6136	0.353065	0.359938	0.233713
3.9	-0.603384	0.348108	0.349228	0.22395
3.95	-0.593596	0.343799	0.338346	0.215183
4	-0.58075	0.337498	0.325238	0.205361
4.05	-0.571403	0.333413	0.31595	0.197371
4.1	-0.561066	0.328331	0.30549	0.18949
4.15	-0.551994	0.324539	0.296606	0.182204
4.2	-0.543527	0.320843	0.288428	0.175794
4.25	-0.534965	0.316984	0.279401	0.168874
4.3	-0.527135	0.313233	0.27155	0.162931
4.35	-0.518915	0.309491	0.263797	0.157269
4.4	-0.510607	0.305858	0.255751	0.151211
4.45	-0.503112	0.302727	0.248992	0.146406
4.5	-0.495992	0.299985	0.241844	0.141533
4.55	-0.489252	0.296822	0.235683	0.136768
4.6	-0.484055	0.294728	0.230981	0.133161
4.65	-0.475589	0.291122	0.22364	0.128503
4.7	-0.469308	0.28879	0.218311	0.124774
4.75	-0.463444	0.286224	0.213448	0.121285
4.8	-0.457535	0.283773	0.208561	0.117799
4.85	-0.452306	0.281845	0.203576	0.114712
4.9	-0.445233	0.279038	0.198576	0.111404
4.95	-0.44032	0.277175	0.194072	0.107998
